Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi04g01224	955.842	967.388	1244.52	1033.05	741.286
Vitvi04g01227	312.974	428.462	488.048	405.637	401.33
Vitvi04g01226	6.03691	5.65299	7.19748	4.46155	8.01458
Vitvi19g00109	3.14926	0	1.0678	1.40928	0
Vitvi19g00108	10028.1	13035.1	10706.7	11846.5	14246.8
Vitvi16g00476	1.01443	0.623384	0	0.824892	0.317835
Vitvi09g01660	80.6169	93.0116	124.446	94.9205	89.6148
Vitvi09g01664	7.13919	4.47268	4.04236	2.17968	1.28805
Vitvi09g01665	7.53666	4.00716	3.5146	1.25142	2.57375
Vitvi09g01666	24.1935	13.9493	5.17794	4.82498	4.80875
Vitvi03g01673	1.43582	5.59756	4.65836	2.63553	2.24155
Vitvi03g01672	396.574	437.624	457.279	385.954	498.506
Vitvi05g00343	21.5238	11.6114	5.84623	48.9624	10.305
Vitvi16g00299	5.15623	5.53352	4.44268	2.67047	4.17543
Vitvi16g00297	2.27658	1.24677	0.563697	1.65956	1.28508
Vitvi14g01762	324.131	411.825	458.948	358.899	309.241
Vitvi08g01773	5577.89	5007.86	6054.02	4078.96	6255.03
Vitvi08g01772	90.7439	102.372	115.238	117.202	136.172
Vitvi08g01770	3.60055	6.88513	2.12332	10.9236	5.4641
Vitvi08g01777	448.741	785.925	131.221	414.723	536.112
Vitvi08g01776	0.253608	55.5527	0	21.1537	0.645821
Vitvi11g01421	79.2752	130.993	143.967	113.607	277.315
Vitvi11g01423	126.74	105.579	164.722	108.398	147.677
Vitvi11g01422	231.973	223.417	191.682	143.77	181.874
Vitvi11g01425	101.951	78.2463	121.595	80.2251	52.2974
Vitvi11g01424	26.1408	21.2843	39.1554	20.7803	29.8697
Vitvi11g01427	7.71842	17.9713	61.6502	48.6807	3.52602
Vitvi11g01429	131.065	74.3977	115.369	103.255	179.866
Vitvi11g01428	43.0934	18.4667	4.13059	18.9159	2.58266
Vitvi09g00133	246.24	152.188	168.315	200.468	140.687
Vitvi09g00132	47.1892	50.9375	57.8092	55.8982	42.7212
Vitvi09g00130	875.434	740.002	899.963	709.932	796.033
Vitvi09g00137	274.618	292.01	286.293	288.734	300.943
Vitvi09g00136	3228.81	3226.02	3845.68	3840.18	3923.67
Vitvi09g00135	1694.45	1991.35	1604.84	1838.17	1548.86
Vitvi09g00134	1146.36	1418.98	977.632	1283.74	804.663
Vitvi09g00139	631.523	761.962	708.962	788.191	662.217
Vitvi18g02588	5457.32	4288.48	5525.72	3911.33	6775.95
Vitvi18g02589	1357.11	825.226	863.223	1289.17	941.886
Vitvi18g02584	1886.78	663.282	996.667	698.916	1019.42
Vitvi18g02585	150.74	49.9304	22.4428	50.8375	62.2997
Vitvi18g02582	8.21755	13.2768	28.9154	26.2527	2.87847
Vitvi18g02580	4.53715	0.91158	14.7576	0.780177	0.642851
Vitvi02g00626	236.711	251.837	290.783	298.173	295.707
Vitvi02g00627	3285.57	2055.65	2424.14	1950.81	2040.4
Vitvi02g00623	0.563144	0.971316	1.69927	1.02068	0.321425
Vitvi02g00628	89.5237	71.7225	79.3412	114.698	85.0544
Vitvi11g01096	24.0779	31.3419	14.9514	15.3484	25.0652
Vitvi18g00986	526.71	576.449	563.954	611.25	571.497
Vitvi11g01097	362.239	420.707	265.758	268.809	431.413
Vitvi18g00980	330.287	332.189	463.422	386.353	391.076
Vitvi18g00981	2397.22	2479.94	2692.99	2690.87	2742.7
Vitvi18g00982	1878.13	1898.44	2064.81	1634.81	1812.3
Vitvi18g00983	1255.83	1130.52	689.918	1079.71	684.916
Vitvi18g00988	969.358	837.296	750.203	1191.69	621.726
Vitvi18g00989	0	2.50198	0	0	0.64223
Vitvi10g00636	1.19022	1.26381	2.99502	0.260059	1.28149
Vitvi10g00634	38.1649	35.4922	33.1712	36.8576	39.8116
Vitvi10g00635	23.9958	29.9628	24.8937	21.1463	29.911
Vitvi10g00632	46.9597	51.1804	54.0912	56.7285	62.8987
Vitvi18g02638	65.3419	52.8824	131.361	60.9767	78.7001
Vitvi10g00639	2923.06	2951.47	2129.83	2991.64	2828.17
Vitvi18g01587	1.75336	3.38377	1.65925	1.29052	5.14986
Vitvi18g01585	63.1791	55.3947	55.3111	73.7861	57.1827
Vitvi18g00672	2087.3	1847.18	1630.61	1635.15	1606.26
Vitvi18g00670	624.491	882.736	794.245	810.041	965.981
Vitvi18g00671	1947.18	2009.89	1601.19	1891.85	2004.08
Vitvi18g00677	18.1049	11.4835	15.0101	36.4865	26.302
Vitvi18g00674	230.981	230.129	392.814	310.926	247.028
Vitvi18g00675	3738.5	1002.27	644.082	668.06	1366.23
Vitvi18g00678	50.6619	46.5482	52.5553	54.8614	55.2243
Vitvi18g00679	16.2535	12.0896	15.8777	18.8106	26.0073
Vitvi13g00037	127.936	128.886	72.1358	117.538	90.5508
Vitvi13g00036	141.338	153.314	205.085	173.161	137.75
Vitvi13g00035	644.962	282.821	587.925	385.605	317.302
Vitvi13g00034	280.568	313.806	235.539	236.201	200.736
Vitvi13g00033	544.187	284.194	485.078	363.689	201.366
Vitvi13g00031	347.185	491.477	525.917	499.312	430.193
Vitvi13g00030	97.1122	96.5125	63.7109	97.5411	72.3082
Vitvi01g00379	4138.16	2095.95	1404.06	1104.29	2428.41
Vitvi01g00378	6.66827	0.309542	0.527763	34.8634	1.91357
Vitvi01g00371	71.4108	55.6659	59.4857	70.1946	58.7514
Vitvi01g00373	2964.91	2968.81	3123.64	2411.71	3026.09
Vitvi01g00372	39.5727	39.4602	61.9725	62.6783	59.7205
Vitvi01g00375	1026.63	825.411	971.905	934.876	906.052
Vitvi01g00374	308.267	268.788	294.23	194.655	280.96
Vitvi01g00377	109.601	133	158.389	143.456	109.851
Vitvi01g00376	3008.89	2786.05	3148.15	2458.28	2716.79
Vitvi17g01650	80.6145	101.454	86.6956	97.4486	70.0022
Vitvi18g01232	2.88765	2.19674	0.59963	1.67911	1.61901
Vitvi14g03029	414.517	417.342	486.335	435.636	513.853
Vitvi01g00995	383.037	301.316	297.951	385.053	189.53
Vitvi01g00997	6.68798	7.11117	5.23753	4.01548	10.5566
Vitvi01g00991	31.1952	23.2593	24.4861	36.1188	30.7951
Vitvi01g00990	46.7518	43.664	32.1076	56.4571	43.6591
Vitvi17g01653	46.0868	318.605	364.026	67.9017	163.956
Vitvi13g01348	219.602	143.449	165.517	234.834	170.367
Vitvi04g02247	3.77633	5.00826	5.51778	8.74687	8.01037
Vitvi04g02244	24.6351	27.7337	19.3573	34.0348	18.9362
Vitvi04g02241	11.345	44.6166	32.1363	12.8364	69.3557
Vitvi04g02248	13.7372	17.3477	11.6156	12.821	9.65265
Vitvi04g02249	0.317537	0.623384	0.563697	0.324326	0
Vitvi17g00086	0.880681	0	1.36761	0	1.60229
Vitvi17g00087	74.9155	78.6774	89.121	78.6894	87.3315
Vitvi17g00084	38.4279	22.6733	5.81759	64.9321	12.521
Vitvi17g00085	10.7019	7.17091	12.3991	2.77384	5.12658
Vitvi17g00082	306.717	398.814	406.108	418.136	433.217
Vitvi17g00083	3.45079	6.82728	4.98183	3.91627	7.69377
Vitvi17g00080	414.951	191.224	189.789	133.863	175.734
Vitvi17g00081	140.535	187.345	201.727	191.221	209.378
Vitvi17g00088	1.45183	1.82746	0.563697	6.07341	1.60589
Vitvi17g00089	91.2171	50.7542	59.3287	59.2745	39.8152
Vitvi04g01571	34.5279	11.5174	11.5756	16.9215	18.6702
Vitvi04g01576	3.40287	2.06452	1.36761	2.87604	3.20224
Vitvi01g02264	1.3799	8.41768	1.09146	0.750849	3.21536
Vitvi01g02267	232.601	288.837	309.091	247.324	345.261
Vitvi11g00295	705.877	866.225	933.02	922.95	829.08
Vitvi11g00294	1495.46	1454.99	1368.02	1250.45	1457.55
Vitvi11g00297	0	0	2.59872	1.08495	0
Vitvi11g00296	163.321	196.397	222.692	205.148	200.644
Vitvi11g00290	149.23	382.03	263.269	230.725	182.69
Vitvi11g00293	222.868	228.8	236.894	178.028	207.083
Vitvi11g00292	3201.86	3122.95	3033.01	3101.77	3614.48
Vitvi12g00380	65.3538	108.411	194.311	54.8183	49.0875
Vitvi12g00381	227.524	218.917	339.881	271.446	264.763
Vitvi12g00382	388.465	215.228	383.785	326.144	692.649
Vitvi12g00383	22.8578	19.7238	24.6626	20.1286	22.5088
Vitvi11g00299	75.6704	75.1235	70.777	81.7282	83.4652
Vitvi11g00298	1733.06	2413.31	1622.33	1883.2	2259.57
Vitvi12g00387	18.1049	10.194	13.1825	31.4168	8.67055
Vitvi14g02777	1.25415	0	0.299815	0	0.960065
Vitvi10g00198	29.8711	37.2683	26.7408	33.4149	37.9309
Vitvi14g02770	10.8735	38.596	163.525	53.2493	5.13376
Vitvi10g00190	6.63205	0	0	0.834668	10.6182
Vitvi10g00197	4.74494	1.20838	25.6986	5.73252	0
Vitvi06g00114	740.575	633.511	792.712	637.314	678.802
Vitvi06g00115	6.55423	17.0084	42.3073	42.0332	18.0043
Vitvi06g00113	1685.39	1620.68	1445.75	1658.46	1469.4
Vitvi06g00110	2647.36	2598.64	2621.46	2156.12	2555.27
Vitvi06g00111	302.118	313.364	187.918	784.978	300.976
Vitvi06g00119	2.14283	10.1019	14.8541	256.93	10.2769
Vitvi07g00238	80.5353	89.4219	87.4403	84.0383	93.8007
Vitvi07g00232	68.4012	78.5218	50.3406	51.573	72.8758
Vitvi07g00233	137.607	133.787	79.2642	84.1509	133.087
Vitvi07g00230	315.127	306.412	344.026	358.733	363.86
Vitvi07g00231	1022.47	988.147	1403.39	1131.4	707.32
Vitvi07g00236	9.5117	15.1639	11.5838	13.903	15.4036
Vitvi07g00237	0.253608	0.330887	0.799826	0.324326	0.321425
Vitvi15g00926	466.248	1043.79	654.141	778.706	688.572
Vitvi15g00925	301.083	740.932	505.109	426.961	608.514
Vitvi15g00924	37.9669	69.4254	44.0302	50.0378	64.5309
Vitvi15g00923	1723.83	1491.89	1425.23	1498.65	1412.48
Vitvi15g00921	309.097	167.223	76.6492	145.311	168.399
Vitvi15g00920	1227.67	748.62	602.095	253.547	537.672
Vitvi15g00929	37.1064	60.2683	90.8685	71.6598	66.5197
Vitvi15g00928	181.747	181.953	302.954	272.056	269.199
Vitvi12g01411	0.507216	2.77743	0	0	3.53023
Vitvi19g02267	3.51472	5.3221	5.24162	2.40063	3.22192
Vitvi19g01790	0.309536	0	0	0.908711	0
Vitvi19g01586	5.41784	0	0.567788	27.659	4.17308
Vitvi19g01585	7.91602	1.16999	0	10.6958	13.7995
Vitvi17g00444	0.253608	1.22542	0.867603	3.62689	4.78547
Vitvi17g00442	1537.08	2297.59	1745.13	1345.7	1790.62
Vitvi14g00413	278.588	156.797	152.779	156.405	96.6922
Vitvi07g00904	10.704	0	0.299815	0	0
Vitvi07g00905	261.124	20.2703	31.6394	30.0804	20.5468
Vitvi07g00903	38.9914	0	0.263881	1.09473	0
Vitvi17g00441	43.7207	38.2501	40.8792	41.7559	34.3481
Vitvi07g00908	3.21319	3.71036	5.12243	1.85535	0
Vitvi17g00448	5.83123	0	0	0.250283	4.18261
Vitvi17g00449	11.8282	0	0	0	3.21957
Vitvi15g01496	0	0	0	0	0
Vitvi07g02212	85.8672	99.2142	93.8635	87.5524	98.2702
Vitvi07g02213	73.4636	65.9432	82.7283	76.2387	90.3217
Vitvi07g02211	423.89	439.751	549.788	409.025	350.44
Vitvi07g02216	204.641	220.966	224.309	219.485	170.73
Vitvi07g02217	149.721	149.044	179.005	205.107	142.619
Vitvi07g02214	134.566	157.803	143.325	128.474	150.899
Vitvi07g02215	260.529	265.109	228.457	276.693	288.645
Vitvi07g02218	358.987	358.012	299.216	384.068	387.07
Vitvi07g02219	29.0641	8.94724	7.36495	19.9302	32.478
Vitvi15g01499	175.221	340.592	354.1	218.009	361.575
Vitvi08g01575	18.1688	8.55661	14.4855	22.2313	26.6258
Vitvi08g01574	459.986	547.744	500.463	453.392	455.254
Vitvi08g01577	390.811	1200	871.665	364.639	550.705
Vitvi08g01571	237.757	185.825	183.532	185.92	159.003
Vitvi08g01573	1010.5	1065.47	1111.49	1014.91	1522.85
Vitvi08g01572	439.02	816.962	616.665	334.906	466.801
Vitvi08g01579	85.2822	112.299	131.598	94.9381	165.818
Vitvi08g01578	12.8207	51.119	12.9987	9.96035	51.3616
Vitvi16g00902	45.6836	31.4891	23.2622	15.3739	42.07
Vitvi16g00908	989.721	1109.13	1301.08	1133.44	1262.71
Vitvi16g00909	82.8297	160.134	104.843	114.41	142.686
Vitvi08g00193	664.817	484.082	357.285	263.758	553.153
Vitvi08g00195	100.557	11.2335	10.4195	8.51614	14.1179
Vitvi08g00199	0	0.894536	0	2.10564	1.60589
Vitvi05g00864	15.7744	13.9939	15.2739	17.3506	21.8427
Vitvi05g00867	99.0934	116.962	105.434	149.548	217.695
Vitvi05g00866	7.96816	24.2688	11.4473	25.3692	19.5892
Vitvi11g00659	49.0764	83.2179	111.5	186.314	86.7301
Vitvi11g00658	96.5751	62.4549	76.7111	82.3837	94.4161
Vitvi15g01674	316.152	350.699	343.038	539.865	430.154
Vitvi15g01670	13.3579	10.9069	4.6347	6.94718	5.7849
Vitvi15g01672	244.951	273.323	270.295	504.605	305.472
Vitvi15g01673	277.86	238.455	305.93	370.35	333.653
Vitvi03g00836	20.9766	26.1219	28.1649	47.2039	22.8594
Vitvi03g00838	0.507216	0	0.263881	1.16877	0.317835
Vitvi03g00839	0	1.86155	0.263881	0.898935	0.645821
Vitvi02g00706	0.760824	0.309542	0.263881	4.63598	0.645821
Vitvi02g00704	1.80929	0.932926	1.32759	1.27097	1.29102
Vitvi02g00703	0.619072	1.18703	0.867603	0.260059	0.645821
Vitvi02g00702	72.6491	60.4123	97.9827	95.1306	62.9351
Vitvi02g00701	1.50775	1.57335	0.531854	1.02068	0.957095
Vitvi02g00700	170.91	166.774	170.252	218.213	204.891
Vitvi13g00238	369.633	333.474	328.068	200.99	362.714
Vitvi13g00231	2.50829	3.40082	2.45907	4.24738	5.13846
Vitvi13g00230	3637.58	1380.17	1175.72	1428.81	1631.02
