Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi03g00187	1937.06	1988.65	2199.82	1758.95	1803.35
Vitvi03g00188	2.3311	2.21351	4.86443	1.96627	2.97205
Vitvi03g00189	37.4154	65.4694	46.1389	31.8829	37.851
Vitvi09g01157	138.151	138.216	133.327	186.4	117.266
Vitvi09g01154	40.824	126.395	119.745	66.6032	118.49
Vitvi09g01155	52.5641	58.756	86.7476	18.0898	60.3745
Vitvi09g01153	41.557	125.19	121.276	54.6853	145.666
Vitvi09g01151	1.96457	7.70434	8.17549	24.9934	5.62503
Vitvi09g01158	128.9	214.945	289.374	156.29	218.186
Vitvi09g01159	10.3104	3.3632	11.5527	6.27385	7.80998
Vitvi03g01588	3.02752	2.44079	1.25833	1.23083	2.4869
Vitvi03g01586	39.0134	23.0049	14.6349	16.468	16.3398
Vitvi03g01584	1.30844	2.10392	3.36067	0.28526	8.57375
Vitvi03g01582	0	1.43914	1.25833	0.28526	0.698927
Vitvi03g01581	380.044	431.907	380.384	386.856	428.977
Vitvi03g01580	389.332	365.486	362.044	406.576	485.556
Vitvi03g01465	0.329893	2.73025	0.43086	2.68705	2.79913
Vitvi11g00952	0.329893	0.798073	0.827471	0	1.40471
Vitvi09g01488	12.8322	26.3297	20.1602	17.653	32.0458
Vitvi11g00955	0	62.209	0.380075	0	75.3298
Vitvi09g01484	1462.07	1527.51	1648.8	1626.79	1440.33
Vitvi09g01486	41.656	78.1647	50.9857	58.3766	96.6946
Vitvi09g01487	10.7502	38.4151	73.0297	45.6469	34.2034
Vitvi09g01480	401.946	428.571	349.193	382.592	410.738
Vitvi09g01483	279.748	413.771	278.131	326.899	435.372
Vitvi13g01959	7023.5	5682.06	7374.82	6400.38	5765.38
Vitvi13g01958	40.6921	86.0093	15.7774	31.2257	43.8634
Vitvi13g01952	0.436147	0.688489	4.12082	2.1764	0.39355
Vitvi13g01951	1004.26	1057.06	1280.74	1072.64	1183.1
Vitvi13g01950	1005.8	1116.49	1336.41	1006.24	1347.48
Vitvi13g01957	26.8188	31.8301	21.552	22.1567	44.0515
Vitvi13g01956	6.74415	4.89634	5.79347	5.68867	7.23388
Vitvi13g01955	20.3642	19.3448	29.9037	19.7079	28.2116
Vitvi13g01954	10236.7	12301.2	10420.2	13931.3	11399.2
Vitvi09g00681	0.835657	0.798073	0	0.36039	0
Vitvi09g00684	0	0.399037	0	0	0
Vitvi12g01170	282.14	349.606	441.339	296.326	345.306
Vitvi12g01171	250.844	327.629	205.978	209.248	176.431
Vitvi12g01172	50.7974	64.5002	49.1337	57.6405	37.85
Vitvi12g01174	123.325	158.633	91.4308	121.858	79.3754
Vitvi12g01175	12.1394	14.3921	9.01146	10.6877	10.9793
Vitvi12g01177	19.7081	18.7037	10.8941	15.8218	11.916
Vitvi11g01605	5.24124	4.01323	2.82941	3.3327	2.49033
Vitvi11g01604	143.111	100.243	97.2392	111.948	105.469
Vitvi09g00359	1.6017	0.578905	0.86172	1.32062	0.702353
Vitvi09g00358	6297.05	8945.02	7595.83	6818.66	5610.04
Vitvi09g00356	12.088	36.6391	34.59	16.3624	28.0825
Vitvi09g00355	2308.79	2576.57	2393.12	726.24	2105.09
Vitvi09g00352	2036.2	1801.82	1003.51	1520.47	934.039
Vitvi09g00351	501.072	402.422	439.857	426.657	359.022
Vitvi09g00350	152.989	263.73	181.264	80.334	43.5062
Vitvi14g01899	30.5133	15.2997	13.4935	10.6413	44.9377
Vitvi01g00086	146.27	154.416	139.156	127.31	131.805
Vitvi01g00080	664.078	627.561	542.661	687.804	590.595
Vitvi17g00617	10.6696	10.6463	10.8941	9.9816	17.1338
Vitvi17g00616	230.996	228.266	230.396	187.645	175.598
Vitvi17g00615	1.09593	2.33121	1.70573	0	3.0568
Vitvi17g00614	40.5821	47.2903	44.4909	34.8974	40.2902
Vitvi17g00610	11.3515	9.66919	8.49556	9.33472	9.92389
Vitvi09g01977	0.39951	0.774364	0.43086	4.83413	0
Vitvi09g01978	6.25277	0	2.03502	15.8657	1.1738
Vitvi04g00554	1314.73	1372.8	1489.55	1090.57	1960.9
Vitvi04g00555	1711.66	1609.97	1500.56	1865.11	1699.53
Vitvi04g00557	943.052	1250.02	913.585	1070.94	509.167
Vitvi04g00550	677.67	573.524	510.397	485.051	483.824
Vitvi04g00552	6.59379	26.696	16.6876	43.6806	19.7356
Vitvi04g00558	180.844	57.275	182.983	131.763	49.261
Vitvi04g00559	152.651	153.741	155.664	139.805	139.556
Vitvi06g00620	0.436147	0.66478	1.20755	1.59122	1.40128
Vitvi06g00621	107.235	167.451	90.849	221.859	428.379
Vitvi06g00622	2.40072	1.86189	0.43086	0.945569	0.702353
Vitvi06g00623	15.5591	18.9466	6.40976	19.9345	12.7941
Vitvi06g00624	1.49544	1.82259	0.447396	4.35403	0
Vitvi06g00625	127.281	144.916	118.229	143.863	117.556
Vitvi06g00626	16.5673	27.6821	39.4164	0.375049	14.9927
Vitvi06g00627	248.945	221.905	208.429	240.906	203.161
Vitvi06g00629	27.7022	1.52502	16.8553	23.7009	9.03834
Vitvi04g02026	151.086	100.789	70.8877	66.4206	70.7948
Vitvi11g00420	0.436147	0	0.760149	0	0
Vitvi11g00569	10.5889	12.9376	9.2061	10.4629	10.0563
Vitvi09g00484	1951.67	1810.73	599.199	2164.93	687.104
Vitvi11g00426	571.603	664.003	488.343	474.558	805.416
Vitvi11g00567	6.58266	17.5297	6.7733	9.57723	9.2761
Vitvi11g00566	1.56506	3.77036	4.10428	4.29293	4.68214
Vitvi11g00565	2.00121	3.22991	5.01679	1.39575	1.40128
Vitvi11g00427	0.872295	1.70489	2.86366	0.36039	1.31653
Vitvi06g00084	0	7.03293	4.966	1.11049	13.4185
Vitvi06g00085	2123.59	2044.46	2417.67	2153.11	2105.48
Vitvi06g00086	695.825	561.213	704.446	552.108	740.545
Vitvi06g00087	225.293	230.788	210.997	214.743	198.687
Vitvi06g00083	147.11	59.5915	85.2306	65.268	78.832
Vitvi11g00425	189.784	201.463	166.69	205.664	170.728
Vitvi06g00088	7.89492	1.64272	1.65494	1.38109	1.00773
Vitvi06g00089	681.795	225.974	344.548	268.517	563.521
Vitvi07g01366	0.729403	17.851	12.516	0.64565	2.26628
Vitvi07g01365	133.914	147.552	119.983	182.965	118.827
Vitvi07g01363	204.038	199.71	244.539	261.486	257.589
Vitvi07g01361	258.492	260.207	293.103	264.188	300.189
Vitvi07g01369	5.82775	0	4.45128	0	9.2624
Vitvi07g01368	14.969	11.1075	14.983	6.97997	44.0079
Vitvi19g02219	89.367	101.143	87.383	82.166	55.7208
Vitvi14g01259	442.922	520.507	432.742	453.14	469.164
Vitvi12g00650	2.88463	1.75231	0	1.59122	2.2697
Vitvi12g00656	357.799	543.27	540.563	625.091	418.125
Vitvi12g00657	3.16676	4.60773	2.15312	1.59122	5.47266
Vitvi12g00654	273.623	367.822	485.199	533.613	527.679
Vitvi12g00655	668.028	1051.56	1038.85	1133.08	1014.09
Vitvi12g00658	2.48512	7.77463	7.69385	17.7251	1.09248
Vitvi06g01199	5.67739	0.977941	3.46224	1.11049	8.77789
Vitvi14g01258	89.0512	116.361	155.709	125.518	106.409
Vitvi17g00704	5.28535	5.35091	10.9792	3.3327	54.1967
Vitvi14g01511	51.9702	195.356	345.635	9.51613	296.007
Vitvi14g01512	1.92793	2.04176	0.810935	0.945569	0.698927
Vitvi14g01513	157.826	185.701	183.217	159.891	202.119
Vitvi14g01514	1506.46	1315.44	1493.47	1287.05	1708.08
Vitvi14g01515	1745.7	1824.26	1906.29	1954.77	1744.32
Vitvi14g01516	6.81743	11.6635	14.3313	15.0118	9.22154
Vitvi14g01517	409.14	225.672	206.603	592.738	163.113
Vitvi14g01519	799.652	794.423	507.101	656.352	550.157
Vitvi15g00875	2.29446	8.7297	46.7933	22.6313	89.3062
Vitvi15g00877	1069.15	1003.23	1057.79	739.701	832.598
Vitvi15g00871	2.36408	0.289452	9.05375	0	1.47918
Vitvi15g00870	12352	10405.5	8307.96	10356.5	7652.45
Vitvi15g00879	918.173	1688.93	1312.48	1368.38	1416.76
Vitvi19g00438	1.45881	0.688489	1.72226	0	0
Vitvi19g02315	0	0	0	0	1.08905
Vitvi06g01196	1.70795	5.41308	3.8931	3.43715	4.11909
Vitvi05g00229	590.173	692.257	669.746	838.479	664.365
Vitvi05g00228	75.4568	102.876	97.2281	89.9755	110.029
Vitvi07g00016	163.863	188.937	309.812	154.472	265.357
Vitvi07g00017	574.353	669.586	707.735	618.793	731.343
Vitvi07g00012	2.25783	0.798073	0	0.28526	1.7914
Vitvi07g00010	1.53208	2.4645	0.827471	1.38109	4.52292
Vitvi07g00011	112.854	91.0734	183.624	139.503	232.03
Vitvi07g00018	64.0395	57.7901	43.6058	37.6022	73.5837
Vitvi12g02240	0	1.83818	0	0.36039	1.09248
Vitvi12g02491	10.7502	10.177	10.1682	7.3257	7.98633
Vitvi12g02496	20.4705	21.6974	13.0307	15.0863	22.6981
Vitvi19g00383	114.019	15.4012	22.3892	23.2055	12.9203
Vitvi12g02494	112.246	211.85	143.112	186.051	142.268
Vitvi19g00389	0	0	0	0	0
Vitvi19g00388	0.329893	1.1734	5.4134	1.08117	0.390124
Vitvi12g01233	98.7716	128.065	109.928	75.2898	133.243
Vitvi12g01232	83.5722	88.0763	84.1473	70.4758	99.2435
Vitvi01g01309	15.6361	16.0995	19.4509	27.6939	19.7329
Vitvi12g01235	26.3756	18.8984	19.0788	17.022	21.6021
Vitvi12g01614	3.49665	12.5785	5.947	2.13119	7.54611
Vitvi14g00643	642.002	627.832	654.691	694.802	687.813
Vitvi14g00640	93.0357	256.465	137.538	137.141	391.218
Vitvi14g00647	7.00443	0	0.878256	1.30596	6.24263
Vitvi14g00645	0	0	0	5.44862	0
Vitvi12g02729	1121.75	904.565	970.941	956.992	1038.84
Vitvi12g00046	105.105	137.202	138.721	142.075	150.39
Vitvi12g00045	112.663	135.201	150.948	125.822	155.634
Vitvi12g00044	208.045	225.763	232.373	167.607	195.173
Vitvi12g00042	576.421	632.697	629.416	644.781	604.834
Vitvi12g00041	426.552	312.853	330.701	482.153	338.564
Vitvi17g00026	2934.45	3505.52	3692.1	3340.64	3358.43
Vitvi12g00040	17.5858	5.18579	9.932	6.96531	2.72124
Vitvi17g00027	2106.88	2058.64	2116.76	2269.28	1995.89
Vitvi17g00020	177.839	135.896	146.815	148.977	147.634
Vitvi16g01944	8.85527	18.9614	8.70792	9.18569	7.40337
Vitvi16g01941	45.2514	58.9073	39.1259	49.0528	4.99779
Vitvi16g01943	11.3734	19.4138	8.34438	10.0873	33.6643
Vitvi06g00769	19.8546	34.8229	52.5714	27.8924	33.9515
Vitvi16g00010	0.729403	16.0489	31.5279	19.9149	1.40128
Vitvi16g00012	93.0137	97.2831	77.8476	100.181	77.0814
Vitvi16g00013	23.2452	57.092	59.9267	31.704	90.3129
Vitvi16g00016	545.969	308.004	295.732	509.172	415.324
Vitvi16g00017	80.2034	82.8833	86.0654	90.0878	88.7703
Vitvi08g00004	78.3999	80.4729	70.4991	68.115	76.5046
Vitvi08g00005	3027.32	3194.12	3438.33	2742.07	3722.24
Vitvi08g00001	243.99	306.274	284.104	293.924	318.428
Vitvi08g00008	144.917	150.409	136.001	131.184	258.71
Vitvi08g00009	992.109	761.695	846.709	780.452	685.806
Vitvi05g02159	18.0075	12.9931	15.0492	14.0797	10.6973
Vitvi05g02158	0.659786	0.688489	1.77305	4.38271	2.32769
Vitvi05g02157	9.02042	2.81612	8.42824	9.48621	2.89073
Vitvi05g02156	41.3371	1.41544	28.8327	46.6089	0.308803
Vitvi05g02155	9.66542	7.87758	8.20974	7.47536	7.26064
Vitvi05g01599	12.6782	17.0914	7.81078	15.506	9.354
Vitvi05g01592	222.896	232.094	252.751	211.398	279.84
Vitvi05g01593	57.2041	60.0206	68.5069	56.02	79.8946
Vitvi05g01597	1451.01	1291.87	771.348	1430.91	1096.77
