Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi02g00834	1.42656	3.85253	1.8923	2.55933	2.18233	1.23526	2.68606	1.04526	0	0.318266
Vitvi19g00973	2.71208	3.83924	4.99113	6.8039	9.88851	1.60156	4.93836	7.51019	3.82553	5.15325
Vitvi19g00974	54.9517	32.4802	31.4803	24.2882	19.9024	19.2784	26.5533	28.1538	34.6201	13.8251
Vitvi19g00978	0.723227	3.21844	1.57725	4.24851	1.09501	0.576293	1.51646	8.61051	9.79779	0.636532
Vitvi03g01348	30.1839	32.9093	8.34934	47.9432	41.271	100.139	51.9009	68.9666	78.1658	133.81
Vitvi03g01347	18.9524	23.3704	10.2367	8.13966	31.7748	31.3773	23.9228	28.5732	37.8059	125.88
Vitvi03g01346	0	0	0.293183	1.88389	2.26276	2.1142	2.5447	0	0.961571	0.647362
Vitvi14g01837	161.981	435.871	250.495	138.034	289.757	229.071	184.14	193.469	465.339	288.857
Vitvi14g01835	0.45301	0.319475	0.586366	0	0.802334	0.324728	0	0	0.309447	0.318266
Vitvi14g01833	775.76	1056.29	779.155	808.71	525.495	712.41	707.724	597.596	746.629	722.427
Vitvi14g01832	52.9351	17.2433	50.2791	83.6786	60.2321	38.2675	35.8087	37.7126	68.5653	24.1434
Vitvi16g01772	6.86055	9.14413	3.3652	4.65286	1.11127	1.79898	2.24149	5.18492	0.309447	0.318266
Vitvi19g00353	410.607	414.546	385.419	327.584	294.985	383.133	345.565	408.484	575.516	359.524
Vitvi18g01698	6.55865	151.8	96.7826	57.3565	182.941	107.505	116.084	54.4649	102.987	69.2538
Vitvi05g00762	0	0.254607	0	1.10109	0	0	0	0.282019	0	0
Vitvi05g00761	3.64585	5.09899	4.03405	67.4842	9.07464	3.09789	3.22762	2.22493	5.6905	12.5669
Vitvi05g00767	1177.23	1432.98	1495.56	1397.62	1528.47	1496.79	1342.63	1221.26	1415.02	1475.03
