gene	Barbera_Touch	Negroamaro_Touch	Primitivo_Touch	Refosco_Touch	Sangiovese_Touch
Vitvi04g01681	0.724202	0	0.253905	0.519417	0.644579
Vitvi04g01689	1195.74	841.428	1008.05	984.736	1057.47
Vitvi04g01688	359.418	391.309	410.219	272.406	385.013
Vitvi16g00121	174.106	227.916	234.219	144.338	197.434
Vitvi12g02722	23.1778	27.0652	19.9822	19.2522	44.9232
Vitvi09g00409	77.2977	6.63622	32.9162	42.5625	11.01
Vitvi09g00402	1485.54	1511.28	1630.5	1289.94	1478.71
Vitvi09g00401	2733.17	2659.87	2551.16	3063.11	2415.68
Vitvi09g00406	748.032	874.749	781.037	960.646	651.343
Vitvi09g00405	1339.98	1270.35	1318.83	1074.02	1216.91
Vitvi09g00404	1094.32	931.709	970.134	1085.13	1070.26
Vitvi12g00375	0.452412	0.800354	2.28097	2.25809	2.87621
Vitvi10g00913	238.461	302.675	280.049	292.127	254.197
Vitvi10g00911	0.678617	0.534861	1.81603	0.801543	1.28916
Vitvi10g00910	1.49399	3.51746	1.47	2.11782	1.60539
Vitvi10g00917	0.226206	0	2.75009	0.483955	0
Vitvi12g00377	698.376	681.909	766.96	732.515	822.639
Vitvi12g00371	3.62271	8.78737	18.1064	4.20954	5.01854
Vitvi12g00370	596.146	543.034	482.979	521.735	599.138
Vitvi12g00373	55.7085	104.763	38.5733	33.9041	78.5861
Vitvi14g03011	22.3396	53.079	6.00381	31.0438	15.2875
Vitvi08g00851	664.804	555.406	693.86	526.25	551.189
Vitvi08g00850	681.2	701.337	670.731	483.409	650.491
Vitvi08g00853	354.613	666.628	1185.74	1371.76	761.156
Vitvi11g01038	0.497985	191.88	53.9807	0	0.308618
Vitvi11g01039	116.434	87.0389	99.6671	124.265	109.083
Vitvi11g01036	85.5425	75.7924	68.2216	75.5865	88.8241
Vitvi11g01035	13.6948	9.77932	9.19071	12.3204	13.6139
Vitvi16g01243	0.520783	1.06972	0.828539	0.766081	0.965311
Vitvi14g02764	1.04157	0	1.99894	1.31627	0.644579
Vitvi03g00131	1886.56	1541.49	1677.44	1711.07	1574.36
Vitvi03g00130	8040.22	10037.7	7934.36	8510.2	7032.94
Vitvi03g00133	1905.18	1895.49	1762.32	1531.51	1598.52
Vitvi03g00132	78.4531	50.9591	64.4417	54.6347	50.407
Vitvi03g00135	1125.23	1208.89	1170.02	1338.72	1109.14
Vitvi03g00134	1.24498	6.06243	0	2.32902	0.328346
Vitvi03g00137	1270.05	1420.24	1444.44	1009.08	1281.54
Vitvi03g00136	510.29	455.985	489.085	368.597	393.501
