gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi06g01836	2.3147	1.57485	0.345056	1.53795	4.94574
Vitvi06g01833	263.388	149.362	183.15	205.442	213.568
Vitvi06g01831	192.716	183.44	335.021	352.32	250.046
Vitvi15g01211	0.443851	8.57179	6.12746	6.35312	21.5584
Vitvi12g00449	958.941	928.742	1193.16	1200.56	898.771
Vitvi12g00448	28.1482	87.3828	23.578	63.8906	73.9215
Vitvi12g00443	1.98265	1.61595	0.378508	1.12484	4.39082
Vitvi12g00442	2.45956	2.76469	1.1431	2.23655	10.86
Vitvi12g00441	0.709788	0.730761	4.90988	0	0
Vitvi12g00440	1250.7	1110.26	2734.87	1123.71	1875.62
Vitvi12g00447	355.876	502.981	333.93	435.116	485.024
Vitvi12g00446	237.615	221.98	157.073	89.6241	114.12
Vitvi12g00445	2154.75	1683.33	478.266	1776.33	1354.47
Vitvi12g00444	3.11252	3.30204	1.87424	4.62043	0.427636
Vitvi15g01007	10.5722	5.2988	1.1431	49.0805	1.35671
Vitvi15g01006	25.8406	2.03996	0.798043	0	0.614715
Vitvi15g01005	2.57135	1.39138	1.03517	0	0
Vitvi15g01003	929.785	836.096	400.203	104.913	878.975
Vitvi15g01002	0.830873	1.34427	0.723563	0.826227	0.614715
Vitvi15g01001	370.095	408.59	345.804	361.768	350.623
Vitvi15g01000	187.255	180.064	204.138	189.791	218.449
Vitvi15g01219	59.2478	77.3084	69.8871	90.716	87.6947
Vitvi15g01009	0	1.37934	0.345056	0	1.43052
Vitvi15g01008	10.2732	11.2603	7.47423	2.37731	29.6324
Vitvi14g01657	0.774044	1.69814	281.484	0.352581	582.146
Vitvi14g01656	10.0566	51.1661	32.5982	28.7516	47.6196
Vitvi14g01655	1273.12	1812.61	1257.46	1173.2	1193.42
Vitvi12g02444	24.8106	30.3185	34.6183	35.8704	47.3295
Vitvi14g01653	5.06397	2.73565	4.14528	7.55162	49.0795
Vitvi07g00288	5.9279	10.9454	6.73551	13.2944	7.84625
Vitvi07g00285	63.5124	65.8847	69.5086	59.3739	54.0061
Vitvi07g00284	654.613	524.116	436.098	476.388	306.303
Vitvi07g00283	645.403	574.326	429.605	546.553	379.978
Vitvi07g00282	34.5237	20.2621	26.8842	10.1105	26.8426
Vitvi07g00281	1.41958	1.46152	0.345056	0.705162	0.855272
Vitvi07g00280	3.34726	2.18626	1.21758	0	0
Vitvi19g00578	227.105	247.089	200.059	199.478	247.083
Vitvi19g00579	392.649	529.106	512.276	449.07	484.465
Vitvi19g00574	1.62868	6.41248	1.10965	0	2.65995
Vitvi19g00575	146.106	147.666	142.444	139.157	122.809
Vitvi19g00576	183.811	220.724	427.925	361.349	324.903
Vitvi19g00577	1502.53	1035.58	1384.35	1411.86	1378.96
Vitvi19g00570	120.533	152.491	159.979	191.241	156.844
