Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi17g00180	2.27964	2.17447	6.03856	8.66715	2.65716	3.31837	2.61301	7.62867	2.91004	2.71205
Vitvi07g01299	1.69337	6.26974	3.471	4.20297	2.07835	5.69534	4.03835	4.73011	2.83819	4.43104
Vitvi07g01298	4.79367	1.55637	2.18292	5.45069	3.69634	2.43663	2.21303	3.19647	5.90858	4.1084
Vitvi07g01292	0.387683	1.19599	0.748101	0	3.04091	1.79365	0.345877	0	1.04699	0
Vitvi07g01291	21.7056	14.5934	14.258	14.8713	21.2206	28.8452	13.2044	11.0329	38.1434	7.92443
Vitvi07g01290	32.7099	23.8034	24.5857	20.5325	38.6164	59.0316	32.9082	27.2775	52.319	15.6119
Vitvi07g01297	224.96	213.532	186.897	237.619	181.977	236.319	224.029	242.538	200.425	251.938
Vitvi07g01296	8.73592	7.8967	6.05196	5.84566	2.99971	7.18746	6.94314	12.9134	10.9126	7.69759
Vitvi07g01295	7.7978	5.04088	7.34862	1.18084	12.8242	15.6051	1.03763	9.7281	7.51246	1.5627
Vitvi07g01294	462.595	473.299	407.005	521.924	363.4	458.539	462.104	514.813	442.091	485.96
Vitvi14g00269	12.4902	21.8489	10.435	34.5125	65.591	2.4948	15.1464	65.2761	73.885	47.7684
Vitvi14g00268	74.0193	116.664	106.249	106.084	76.7413	159.203	125.062	130.539	98.4919	72.7615
Vitvi14g00261	8.15356	0	0	0	0	0	0	0	0	0
Vitvi14g00260	1.30569	0.43424	0	0.427394	0	0	0	0	0	0.307503
Vitvi14g00265	556.389	671.393	677.49	565.074	481.634	447.996	584.777	586.415	580.02	711.494
Vitvi14g00264	9.00615	11.7087	16.2003	18.5114	27.8808	10.6721	5.63344	23.7341	17.482	10.1778
Vitvi14g00266	158.727	262.33	196.864	217.653	160.658	139.908	186.394	206.382	213.662	256.087
Vitvi18g00272	1402.61	3285.53	3546.64	3261.85	1779.53	3435.03	1796.79	897.724	2023.59	1281.3
Vitvi19g00859	0.443624	0	0	0.427394	0.690862	0.373233	1.21723	0.419885	0.617154	1.00317
Vitvi18g00273	17.0075	0	20.5881	143.692	8.1717	4.03615	7.95225	9.72253	6.12286	1.08885
Vitvi14g00489	156.164	333.179	491.059	434.718	361.714	233.301	322.86	151.776	418.52	484.64
Vitvi14g00488	0.775366	0	0	0	0.30712	0	0	0.414316	0.429836	0
Vitvi14g00485	5296.32	5.63622	211.033	10740.4	566.435	3773.57	6518.78	8203.05	2403.73	54.5787
Vitvi14g00484	809.04	1353.55	977.303	1603.22	981.22	1059.32	1253.11	1471.99	1730.95	1103.5
Vitvi14g00487	22233.6	1117.93	8073.73	23467.9	28616	10903.8	22060.4	63577.2	21899.4	5980.79
Vitvi14g00481	128.618	139.16	133.64	62.6107	130.527	109.582	107.975	72.4821	111.047	96.8222
Vitvi14g00483	15.3511	7.42554	22.4412	106.233	84.3438	33.8205	145.657	108.263	212.292	59.4633
Vitvi14g00482	1836.05	1679.36	1445.07	1104.41	1323.77	1218.53	1480.16	987.399	1077.81	1223.52
